variable;unit;min;max;definition
Agricultural Demand;million t DM/yr;0;;total demand for food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation)
Agricultural Demand|Energy;million t DM/yr;0;;agricultural demand level for all bioenergy (consumption, not production)
Agricultural Demand|Energy|Crops;million t DM/yr;0;;demand for modern primary energy crops (1st and 2nd generation)
Agricultural Demand|Non-Energy;million t DM/yr;0;;total demand for food, non-food and feed products (crops and livestock)
Agricultural Demand|Non-Energy|Crops;million t DM/yr;0;;total demand for food, non-food and feed products (crops)
Agricultural Production;million t DM/yr;0;;total production of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation)
Agricultural Production|Energy;million t DM/yr;0;;total bioenergy-related agricultural production (including waste and residues)
Agricultural Production|Energy|Crops;million t DM/yr;0;;production for modern primary energy crops (1st and 2nd generation)
Agricultural Production|Non-Energy;million t DM/yr;0;;total production for food, non-food and feed products (crops and livestock)
Fertilizer Use|Nitrogen;Tg N/yr;0;;total nitrogen fertilizer use
Fertilizer Use|Phosphorus;Tg P/yr;0;;total phosphorus fertilizer use
Price|Agriculture|Corn|Index;Index (2005 = 1);0;;price index of corn
Price|Agriculture|Non-Energy Crops and Livestock|Index;Index (2005 = 1);0;;weighted average price index of non-energy crops and livestock products
Price|Agriculture|Non-Energy Crops|Index;Index (2005 = 1);0;;weighted average price index of non-energy crops
Price|Agriculture|Soybean|Index;Index (2005 = 1);0;;price index of soybean
Price|Agriculture|Wheat|Index;Index (2005 = 1);0;;price index of wheat
Fertilizer|Nitrogen|Intensity;t N/ha/yr;0;;nitrogen fertilizer inputs in tonnes per hectare per year (or similar)
Fertilizer|Phosphorus|Intensity;t P/ha/yr;0;;phosphorus fertilizer inputs in tonnes per hectare per year (or similar)
Agricultural Demand|Energy|Crops|1st generation;million t DM/yr;0;;demand for modern primary 1st generation energy crops
Agricultural Demand|Energy|Crops|2nd generation;million t DM/yr;0;;demand for modern primary 2nd generation energy crops
Agricultural Demand|Energy|Residues;million t DM/yr;0;;demand of agricultural residues for modern bioenergy production
Agricultural Demand|Non-Energy|Crops|Feed;million t DM/yr;0;;total demand for feed (crops)
Agricultural Demand|Non-Energy|Crops|Food;million t DM/yr;0;;total demand for food (crops)
Agricultural Demand|Non-Energy|Crops|Other;million t DM/yr;0;;total demand for non-food and non-feed (crops)
Agricultural Demand|Non-Energy|Livestock;million t DM/yr;0;;total demand for livestock products
Agricultural Demand|Non-Energy|Livestock|Food;million t DM/yr;0;;total demand for food livestock products
Agricultural Demand|Non-Energy|Livestock|Other;million t DM/yr;0;;total demand for non-food livestock products
Agricultural Production|Energy|Crops|1st generation;million t DM/yr;0;;production for modern primary 1st generation energy crops
Agricultural Production|Energy|Crops|2nd generation;million t DM/yr;0;;production for modern primary 2nd generation energy crops
Agricultural Production|Energy|Residues;million t DM/yr;0;;production of agricultural residues for modern bioenergy production
Agricultural Production|Non-Energy|Crops;million t DM/yr;0;;total production for food, non-food and feed products (crops)
Agricultural Production|Non-Energy|Crops|Feed;million t DM/yr;0;;total production for feed (crops)
Agricultural Production|Non-Energy|Crops|Food;million t DM/yr;0;;total production for food (crops)
Agricultural Production|Non-Energy|Crops|Other;million t DM/yr;0;;total production for non-food and non-feed (crops)
Agricultural Production|Non-Energy|Livestock;million t DM/yr;0;;total production for livestock products
Agricultural Production|Non-Energy|Livestock|Food;million t DM/yr;0;;total production for food livestock products
Agricultural Production|Non-Energy|Livestock|Other;million t DM/yr;0;;total production for non-food livestock products
Fertilizer Use|Potassium;Tg K2O/yr;0;;total potassium fertilizer use
Yield|Cereal;t DM/ha/yr;0;;yield of cereal production per until of area (used here as repreentative crop to measure yield assumptions)
Yield|Oilcrops;t DM/ha/yr;0;;aggregated yield of Oilcrops (e.g. soybean, rapeseed, groundnut, sunflower, oilpalm)
Yield|Sugarcrops;t DM/ha/yr;0;;aggregated yield of Sugarcrops (e.g. sugarbeet, sugarcane)
Fertilizer|Potassium|Intensity;t K20/ha/yr;0;;potassium fertilizer inputs in tonnes per hectare per year (or similar)
Carbon Sequestration|CCS;Mt CO2/yr;0;;total carbon dioxide emissions captured and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers
Carbon Sequestration|CCS|Biomass;Mt CO2/yr;0;;total carbon dioxide emissions captured  from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers
Carbon Sequestration|CCS|Fossil;Mt CO2/yr;0;;total carbon dioxide emissions captured from fossil fuel use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers
Carbon Sequestration|CCS|Industrial Processes;Mt CO2/yr;0;;total carbon dioxide emissions captured from industrial processes (e.g., cement production, but not from fossil fuel burning) use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers
Carbon Sequestration|Land Use;Mt CO2/yr;;;total carbon dioxide sequestered through land-based sinks (e.g., afforestation, soil carbon enhancement, biochar)
Carbon Sequestration|CCS|Biomass|Energy|Demand|industry;Mt CO2/yr;0;;total carbon dioxide emissions captured from bioenergy use in industry (IPCC category 1A2) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers
Carbon Sequestration|CCS|Biomass|Energy|Supply;Mt CO2/yr;0;;total carbon dioxide emissions captured  from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers
Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity;Mt CO2/yr;0;;total carbon dioxide emissions captured from bioenergy use in electricity production (part of IPCC category 1A1a) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers
