variable;unit;min;max;definition
Population;million;0;1000;total population
GDP|MER;billion US$2005/yr;NA;1000;GDP at market exchange rate
GDP|PPP;billion US$2005/yr;NA;1000;GDP converted to US $ using purchasing power parity
Primary Energy;EJ/yr;NA;1000;total primary energy consumption (direct equivalent)
Primary Energy|Fossil;EJ/yr;NA;1000;coal, gas, conventional and unconventional oil primary energy consumption
Primary Energy|Fossil|w/ CCS;EJ/yr;NA;1000;coal, gas, conventional and unconventional oil primary energy consumption used in combination with CCS
Primary Energy|Fossil|w/o CCS;EJ/yr;NA;1000;coal, gas, conventional and unconventional oil primary energy consumption without CCS
Primary Energy|Coal;EJ/yr;NA;1000;coal primary energy consumption
Primary Energy|Coal|w/ CCS;EJ/yr;NA;1000;coal primary energy consumption used in combination with CCS
Primary Energy|Coal|w/o CCS;EJ/yr;NA;1000;coal primary energy consumption without CCS
Primary Energy|Oil;EJ/yr;NA;1000;conventional & unconventional oil primary energy consumption
Primary Energy|Oil|w/ CCS;EJ/yr;NA;1000;conventional & unconventional oil primary energy consumption used in combination with CCS
Primary Energy|Oil|w/o CCS;EJ/yr;NA;1000;conventional & unconventional oil primary energy consumption without CCS
Primary Energy|Gas;EJ/yr;NA;1000;gas primary energy consumption
Primary Energy|Gas|w/ CCS;EJ/yr;NA;1000;gas primary energy consumption used in combination with CCS
Primary Energy|Gas|w/o CCS;EJ/yr;NA;1000;gas primary energy consumption without CCS
Primary Energy|Biomass;EJ/yr;NA;1000;purpose-grown bioenergy crops, crop and forestry residue bioenergy, municipal solid waste bioenergy, traditional biomass primary energy consumption
Primary Energy|Biomass|w/ CCS;EJ/yr;NA;1000;purpose-grown bioenergy crops, crop and forestry residue bioenergy, municipal solid waste bioenergy, traditional biomass primary energy consumption used in combination with CCS
Primary Energy|Biomass|w/o CCS;EJ/yr;NA;1000;purpose-grown bioenergy crops, crop and forestry residue bioenergy, municipal solid waste bioenergy, traditional biomass primary energy consumption without CCS
Primary Energy|Biomass|Modern;EJ/yr;NA;1000;modern biomass primary energy consumption, including purpose-grown bioenergy crops, crop and forestry residue bioenergy and municipal solid waste bioenergy
Primary Energy|Biomass|Traditional;EJ/yr;NA;1000;traditional biomass primary energy consumption
Primary Energy|Nuclear;EJ/yr;NA;1000;nuclear primary energy consumption (direct equivalent, includes electricity, heat and hydrogen production from nuclear energy)
Primary Energy|Non-Biomass Renewables;EJ/yr;NA;1000;non-biomass renewable energy consumption (direct equivalent, includes hydro electricity, wind electricity, geothermal electricity and heat, solar electricity and heat and hydrogen, ocean energy)
Primary Energy|Hydro;EJ/yr;NA;1000;total hydro primary energy consumption
Primary Energy|Wind;EJ/yr;NA;1000;total wind primary energy consumption
Primary Energy|Solar;EJ/yr;NA;1000;total solar primary energy consumption
Primary Energy|Geothermal;EJ/yr;NA;1000;total geothermal primary energy consumption
Primary Energy|Ocean;EJ/yr;NA;1000;total ocean primary energy consumption
Primary Energy|Secondary Energy Trade;EJ/yr;NA;1000;trade in secondary energy carriers than cannot be attributed unambiguously to a primary energy source (e.g. electricity, hydrogen, fossil synfuels, negative means net exports)
Primary Energy|Other;EJ/yr;NA;1000;primary energy consumption from sources that do not fit to any other category (direct equivalent, please provide a definition of the sources in this category in the 'comments' tab)
Secondary Energy;EJ/yr;NA;1000;total secondary energy - the sum of all secondary energy carrier production (for consistency checks)
Secondary Energy|Electricity;EJ/yr;NA;1000;total net electricity production
Secondary Energy|Electricity|Coal;EJ/yr;NA;1000;net electricity production from coal
Secondary Energy|Electricity|Coal|w/ CCS;EJ/yr;NA;1000;net electricity production from coal with a CO2 capture component
Secondary Energy|Electricity|Coal|w/o CCS;EJ/yr;NA;1000;net electricity production from coal with freely vented CO2 emissions
Secondary Energy|Electricity|Oil;EJ/yr;NA;1000;net electricity production from refined liquids
Secondary Energy|Electricity|Oil|w/ CCS;EJ/yr;NA;1000;net electricity production from refined liquids with a CO2 capture component
Secondary Energy|Electricity|Oil|w/o CCS;EJ/yr;NA;1000;net electricity production from refined liquids with freely vented CO2 emissions
Secondary Energy|Electricity|Gas;EJ/yr;NA;1000;net electricity production from natural gas
Secondary Energy|Electricity|Gas|w/ CCS;EJ/yr;NA;1000;net electricity production from natural gas with a CO2 capture component
Secondary Energy|Electricity|Gas|w/o CCS;EJ/yr;NA;1000;net electricity production from natural gas with freely vented CO2 emissions
Secondary Energy|Electricity|Biomass;EJ/yr;NA;1000;net electricity production from municipal solid waste, purpose-grown biomass, crop residues, forest industry waste, biogas
Secondary Energy|Electricity|Biomass|w/ CCS;EJ/yr;NA;1000;net electricity production from municipal solid waste, purpose-grown biomass, crop residues, forest industry waste with a CO2 capture component
